,Title,Year,Director,Writer,Actors,Genre,Language,Country,Runtime,BoxOffice
2631,Gett: The Trial of Viviane Amsalem,2014,"Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Simon Abkarian, Gabi Amrani, Dalia Beger",Drama,Hebrew,Israel,115,650571
2632,Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan(co-director)","Simon Beaufoy (screenplay), Vikas Swarup (novel)","Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi",Drama,English,UK,120,141243551
2633,Battle of Los Angeles,2011,Mark Atkins,Mark Atkins,"Nia Peeples, Kel Mitchell, Dylan Vox, Theresa June-Tao",Action,English,USA,92,83537651
2634,Of Gods and Men,2010,Xavier Beauvois,"Xavier Beauvois (adaptation), Etienne Comar (scenario)","Lambert Wilson, Michael Lonsdale, Olivier Rabourdin, Philippe Laudenbach",Drama,French,France,122,3200000
2635,Forgetting Sarah Marshall,2008,Nicholas Stoller,Jason Segel,"Jason Segel, Kristen Bell, Mila Kunis, Russell Brand",Comedy,English,USA,111,62900000
2636,Altiplano,2009,"Peter Brosens, Jessica Woodworth","Peter Brosens, Jessica Woodworth","Magaly Solier, Jasmin Tabatabai, Olivier Gourmet, Arturo Anacarino Zarate",Drama,Spanish,Belgium,109,2754
2637,Room,2015,Lenny Abrahamson,"Emma Donoghue (screenplay by), Emma Donoghue (based on the novel by)","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",Drama,English,Ireland,118,14677654
2638,Movie 43,2013,"Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, Will Graham, James Gunn, Brett Ratner, Jonathan van Tulleken, Bob Odenkirk","Rocky Russo, Jeremy Sosenko, Ricky Blitt, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Bill O'Malley (story), Will Graham, Jack Kukoda, Rocky Russo, Jeremy Sosenko, Matt Portenoy, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Claes Kjellstrom (story), Jonas Wittenmark (story), Tobias Carlson (story), Will Carlough, Jonathan van Tulleken, Elizabeth Shapiro, Patrik Forsberg, Olle Sarri, Jacob Fleisher, Greg Pritikin, Rocky Russo, Jeremy Sosenko, James Gunn","Dennis Quaid, Greg Kinnear, Common, Charlie Saxton",Comedy,English,USA,94,8700000
2639,Detention of the Dead,2012,Alex Craig Mann,"Alex Craig Mann, Rob Rinow (based on the play by)","Jacob Zachar, Alexa Nikolas, Christa B. Allen, Jayson Blair",Comedy,English,USA,87,1332
2641,Horrible Bosses 2,2014,Sean Anders,"Sean Anders (screenplay), John Morris (screenplay), Jonathan Goldstein (story), John Francis Daley (story), Sean Anders (story), John Morris (story), Michael Markowitz (characters)","Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston",Comedy,English,USA,108,39939072
2642,Dear John,2010,Lasse Hallstrom,"Jamie Linden (screenplay), Nicholas Sparks (novel)","Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas",Drama,English,USA,108,79600000
2643,The People I've Slept With,2012,Quentin Lee,Koji Steven Sakai,"Karin Anna Cheung, Wilson Cruz, Archie Kao, Lynn Chen",Comedy,English,USA,89,16383
2644,Magic Trip: Ken Kesey's Search for a Kool Place,2011,"Alison Ellwood, Alex Gibney","Alex Gibney (screenplay), Alex Gibney, Alison Ellwood (screenplay), Ken Kesey (words and recordings), Ken Kesey (based on the works of)","Stanley Tucci, Jim Meskimen, Veronica Taylor, Timothy Leary",Documentary,English,USA,107,153943
2645,Knock Knock,2015,Eli Roth,"Eli Roth (screenplay), Nicolas Lopez (screenplay), Guillermo Amoedo (screenplay), Anthony Overman (story), Michael Ronald Ross (story)","Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns",Drama,English,USA,99,285363
2646,Grown Ups,2010,Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Kevin James, Chris Rock, David Spade",Comedy,English,USA,102,162001186
2647,Among the Believers,2015,"Mohammed Naqvi, Hemal Trivedi",Jonathan Goodman Levitt,"Abdul Aziz, Pervez Hoodbhoy",Documentary,English,Pakistan,84,1900
2648,Beasts of No Nation,2015,Cary Joji Fukunaga,"Cary Joji Fukunaga (written for the screen by), Uzodinma Iweala (based on the novel by)","Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote",Drama,English,USA,137,83861
2649,Waiting for Forever,2010,James Keach,Steve Adams,"Rachel Bilson, Tom Sturridge, Richard Jenkins, Blythe Danner",Comedy,English,USA,95,16291
2650,Grown Ups 2,2013,Dennis Dugan,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by), Fred Wolf (based on characters created by)","Adam Sandler, Kevin James, Chris Rock, David Spade",Comedy,English,USA,101,127400000
2651,Goon,2011,Michael Dowse,"Jay Baruchel, Evan Goldberg, Adam Frattasio (based on the book by), Douglas Smith (based on the book by)","Seann William Scott, Jay Baruchel, Alison Pill, Liev Schreiber",Comedy,English,USA,92,840657
2652,Nobody Else But You,2011,Gerald Hustache-Mathieu,"Adrian Finkelstein (novel), Gerald Hustache-Mathieu, Juliette Sales (contributing writer)","Jean-Paul Rouve, Sophie Quinton, Guillaume Gouix, Arsinee Khanjian",Comedy,French,France,102,26125
2653,Snow Flower and the Secret Fan,2011,Wayne Wang,"Angela Workman (screenplay), Ronald Bass (screenplay), Michael Ray (screenplay), Lisa See (novel)","Russell Wong, Bingbing Li, Archie Kao, Ji-hyun Jun",Drama,English,China,120,1346503
2654,Solace,2015,Afonso Poyart,"Sean Bailey, Ted Griffin","Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell",Crime,English,USA,101,403050
2655,Thunder and the House of Magic,2013,"Jeremy Degruson, Ben Stassen, Mimi Maynard","Ben Stassen (story), James Flynn (screenplay), Domonic Paris (screenplay), Ben Stassen (screenplay)","Cinda Adams, George Babbit, Brianne Brozey, Kathleen Gati",Animation,English,Belgium,85,1606608
2656,What Maisie Knew,2012,"Scott McGehee, David Siegel","Nancy Doyne (screenplay by), Carroll Cartwright (screenplay by), Henry James (based on the novel by)","Julianne Moore, Steve Coogan, Alexander Skarsgard, Joanna Vanderham",Drama,English,USA,99,1000000
2657,I Wish,2011,Hirokazu Koreeda,Hirokazu Koreeda (screenplay),"Masami Nagasawa, Kirin Kiki, Hiroshi Abe, Kanna Hashimoto",Drama,Japanese,Japan,128,145697
2658,Jesus Henry Christ,2011,Dennis Lee,"Dennis Lee (screenplay), Dennis Lee (short film)","Toni Collette, Michael Sheen, Jason Spevack, Hannah Brigden",Comedy,English,USA,92,18390
2659,A Prophet,2009,Jacques Audiard,"Thomas Bidegain (screenplay), Jacques Audiard (screenplay), Abdel Raouf Dafri (original screenplay), Nicolas Peufaillit (original screenplay)","Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb",Crime,French,France,155,1515303
2660,The Lorax,2012,"Chris Renaud, Kyle Balda(co-director)","Dr. Seuss (based on the book by), Cinco Paul (screenplay by), Ken Daurio (screenplay by)","Danny DeVito, Ed Helms, Zac Efron, Taylor Swift",Animation,English,USA,86,211000000
2661,Wolf Warrior 2,2017,Jing Wu,"Qun Dong, Yan Gao, Yi Liu, Jing Wu","Jing Wu, Frank Grillo, Celina Jade, Gang Wu",Action,Mandarin,China,123,2720898
2662,Public Enemies,2009,Michael Mann,"Ronan Bennett (screenplay), Michael Mann (screenplay), Ann Biderman (screenplay), Bryan Burrough (book)","Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp",Biography,English,USA,140,97000000
2663,Top Cat: The Movie,2011,Alberto Mar,"Timothy McKeon (screenwriter), Kevin Seccia (screenwriter)","Jason Harris, Chris Edgerly, Bill Lobley, Ben Diskin",Animation,Spanish,Mexico,90,1444790
2664,The Beauty Inside,2015,Jong-Yeol Baek,"Seon-jeong Kim, Ye-jeong Park, Kyung-hee Noh (narration writer)","Hyo-Joo Han, Seo-Joon Park, Juri Ueno, Jin-wook Lee",Drama,Korean,South Korea,127,50536
2665,The Last King,2016,Nils Gaup,Ravn Lanesskog,"Jakob Oftebro, Kristofer Hivju, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Action,Norwegian,Norway,99,8550
2666,Four Lions,2010,Christopher Morris,"Christopher Morris, Sam Bain, Jesse Armstrong, Simon Blackwell (additional writing)","Riz Ahmed, Arsher Ali, Nigel Lindsay, Kayvan Novak",Comedy,English,UK,97,308769
2667,Horns,2013,Alexandre Aja,"Keith Bunin (screenplay), Joe Hill (based on the novel by)","Daniel Radcliffe, Max Minghella, Joe Anderson, Juno Temple",Crime,English,USA,120,511848
2668,Dragonball: Evolution,2009,James Wong,"Ben Ramsey (screenplay), Akira Toriyama (novel)","Justin Chatwin, Yun-Fat Chow, Emmy Rossum, Jamie Chung",Action,English,USA,85,9353573
2669,Turbo,2013,David Soren,"Darren Lemke (screenplay by), Robert Siegel (screenplay by), David Soren (screenplay by), David Soren (story by)","Ryan Reynolds, Paul Giamatti, Michael Pena, Samuel L. Jackson",Animation,English,USA,96,81100000
2670,The BFG,2016,Steven Spielberg,"Melissa Mathison (screenplay by), Roald Dahl (based on the book by)","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement",Adventure,English,USA,117,55472665
2671,The Twilight Saga: New Moon,2009,Chris Weitz,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke",Adventure,English,USA,130,296593070
2672,In Secret,2013,Charlie Stratton,"Emile Zola (novel), Neal Bell (stage play ""Therese Raquin""), Charlie Stratton (screenplay)","Elizabeth Olsen, Oscar Isaac, Tom Felton, Jessica Lange",Crime,English,USA,107,308227
2673,Ramona and Beezus,2010,Elizabeth Allen Rosenbaum,"Laurie Craig (screenplay), Nick Pustay (screenplay), Beverly Cleary (novels)","Joey King, Selena Gomez, John Corbett, Bridget Moynahan",Adventure,English,USA,103,26161406
2674,Sarah's Key,2010,Gilles Paquet-Brenner,"Tatiana De Rosnay (novel), Serge Joncour (screenplay), Gilles Paquet-Brenner (screenplay)","Kristin Scott Thomas, Melusine Mayance, Niels Arestrup, Frederic Pierrot",Drama,French,France,111,7691700
2675,Love Is All You Need,2012,Susanne Bier,"Anders Thomas Jensen (screenplay), Susanne Bier (story), Anders Thomas Jensen (story)","Trine Dyrholm, Stina Ekblad, Sebastian Jessen, Molly Blixt Egelind",Comedy,English,Denmark,116,1631306
2676,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,Bruce Hendricks,"Michael Poryes (character based on the series created by), Rich Correll (character based on the series created by), Barry O'Brien (character based on the series created by)","Miley Cyrus, The Jonas Brothers, Kenny Ortega, Billy Ray Cyrus",Documentary,English,USA,74,65138443
2677,Vanishing on 7th Street,2010,Brad Anderson,Anthony Jaswinski,"Hayden Christensen, John Leguizamo, Thandie Newton, Jacob Latimore",Horror,English,USA,92,22197
2678,Film socialisme,2010,Jean-Luc Godard,"Hannah Arendt (additional material), Walter Benjamin (additional material), Leon Brunschvicg (additional material), Jean-Paul Curnier (additional material), Jacques Derrida (additional material), Roland Dubillard (additional material), Jean Giraudoux (additional material), Jean-Luc Godard, Jean-Paul Sartre (additional material), Jean Tardieu (additional material), Otto von Bismarck (additional material)","Jean-Marc Stehle, Agatha Couture, Mathias Domahidy, Quentin Grosset",Drama,French,Switzerland,102,14354
2680,Let My People Go!,2011,Mikael Buch,"Mikael Buch, Christophe Honore","Nicolas Maury, Carmen Maura, Jean-Francois Stevenin, Amira Casar",Comedy,French,France,96,12317
2681,An Inconvenient Sequel: Truth to Power,2017,"Bonni Cohen, Jon Shenk",Al Gore,"Al Gore, George W. Bush, Bill Clinton, Laurent Fabius",Documentary,English,USA,98,3456144
2682,The Huntsman: Winter's War,2016,Cedric Nicolas-Troyan,"Evan Spiliotopoulos, Craig Mazin, Evan Daugherty (characters)","Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt",Action,English,USA,114,46445229
2683,Be Kind Rewind,2008,Michel Gondry,Michel Gondry,"Jack Black, Yasiin Bey, Danny Glover, Mia Farrow",Comedy,English,UK,102,11200000
2684,Yalom's Cure,2014,Sabine Gisiger,Sabine Gisiger,"Irvin D. Yalom, Marilyn Yalom",Documentary,English,Switzerland,77,684
2685,Jean-Michel Basquiat: The Radiant Child,2010,Tamra Davis,"Eric Martin, Lois Vossen","Jean Michel Basquiat, Julian Schnabel, Larry Gagosian, Bruno Bischofberger",Documentary,English,USA,88,256242
2686,Enthiran,2010,S. Shankar,"Madhan Karky (dialogue), Swanand Kirkire (hindi dialogue), S. Shankar (dialogue), S. Shankar (story and screenplay), Sujatha (dialogue)","Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam",Action,Tamil,India,174,1520108
2687,Your Highness,2011,David Gordon Green,"Danny McBride, Ben Best","Danny McBride, James Franco, Rasmus Hardiker, Natalie Portman",Adventure,English,USA,102,21600000
2688,"Big Mommas: Like Father, Like Son",2011,John Whitesell,"Matthew Fogel (screenplay), Don Rhymer (story), Matthew Fogel (story), Darryl Quarles (characters)","Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang",Action,English,USA,107,37911876
2689,The Killer Inside Me,2010,Michael Winterbottom,"John Curran, Jim Thompson (novel)","Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty",Crime,English,UK,109,200000
2690,The Children of Huang Shi,2008,Roger Spottiswoode,"Jane Hawksley, James MacManus","Jonathan Rhys Meyers, Radha Mitchell, Yun-Fat Chow, Michelle Yeoh",Drama,English,Australia,125,652604
2691,The Square,2017,Ruben Ostlund,Ruben Ostlund,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary",Comedy,English,Sweden,151,1284672
2692,Kill List,2011,Ben Wheatley,"Ben Wheatley, Amy Jump","Neil Maskell, MyAnna Buring, Harry Simpson, Michael Smiley",Crime,English,UK,95,26297
2693,Oz the Great and Powerful,2013,Sam Raimi,"Mitchell Kapner (screenplay), David Lindsay-Abaire (screenplay), Mitchell Kapner (screen story), L. Frank Baum (""Oz"" works)","James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",Adventure,English,USA,130,234903076
2694,Phil Ochs: There But for Fortune,2010,Kenneth Bowser,Kenneth Bowser,"Salvador Allende, Erik Andersen, Joan Baez, Jello Biafra",Documentary,English,USA,96,259362
2695,Jackie,2016,Pablo Larrain,Noah Oppenheim,"Natalie Portman, Peter Sarsgaard, Greta Gerwig, Billy Crudup",Biography,English,USA,100,13958679
2696,The Snowtown Murders,2011,Justin Kurzel,"Shaun Grant, Shaun Grant (story), Justin Kurzel (story), Debi Marshall (book), Andrew McGarry (book)","Lucas Pittaway, Bob Adriaens, Louise Harris, Frank Cwiertniak",Biography,English,Australia,119,607110
2697,Hell Baby,2013,"Robert Ben Garant, Thomas Lennon","Robert Ben Garant (screenplay), Thomas Lennon (screenplay)","Rob Corddry, Leslie Bibb, Alex Berg, Keegan-Michael Key",Comedy,English,USA,98,4980
2698,Radio Dreams,2016,Babak Jalali,"Babak Jalali (script by), Aida Ahadiany, Babak Jalali","Lars Ulrich, Boshra Dastournezhad, Litz Plummer, Larry Laverty",Comedy,Persian,USA,93,18642
2699,Plot for Peace,2013,"Carlos Agullo, Mandy Jacobson",Stephen Smith,"Jean-Yves Ollivier, Winnie Mandela, Thabo Mbeki, Matthews Phosa",Documentary,English,South Africa,84,2554
2700,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,Dave Green,"Josh Appelbaum, Andre Nemec, Peter Laird (based on the Teenage Mutant Ninja Turtles characters created by), Kevin Eastman (based on the Teenage Mutant Ninja Turtles characters created by)","Megan Fox, Will Arnett, Laura Linney, Stephen Amell",Action,English,USA,112,82035527
2701,The Twilight Saga: Eclipse,2010,David Slade,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)","Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",Adventure,English,USA,124,300523113
2702,Hope Springs,2012,David Frankel,Vanessa Taylor,"Meryl Streep, Tommy Lee Jones, Steve Carell, Jean Smart",Comedy,English,USA,100,63300000
2703,Jack and Jill,2011,Dennis Dugan,"Steve Koren (screenplay), Adam Sandler (screenplay), Ben Zook (story)","Adam Sandler, Al Pacino, Katie Holmes, Elodie Tougne",Comedy,English,USA,91,74158157
2704,My Worst Nightmare,2011,Anne Fontaine,"Anne Fontaine, Nicolas Mercier","Isabelle Huppert, Benoit Poelvoorde, Andre Dussollier, Virginie Efira",Comedy,French,France,103,21456
2705,Gunday,2014,Ali Abbas Zafar,"Ali Abbas Zafar, Sanjay Masoomm (additional dialogue)","Ranveer Singh, Arjun Kapoor, Priyanka Chopra, Irrfan Khan",Action,Hindi,India,152,413482
2706,A Few Best Men,2011,Stephan Elliott,Dean Craig,"Laura Brent, Xavier Samuel, Kris Marshall, Kevin Bishop",Comedy,English,Australia,97,3461533
2707,How Do You Know,2010,James L. Brooks,James L. Brooks,"Reese Witherspoon, Paul Rudd, Owen Wilson, Jack Nicholson",Comedy,English,USA,121,30212620
2708,The Boys Are Back,2009,Scott Hicks,"Simon Carr (novel), Allan Cubitt (adaptation)","Clive Owen, Emma Booth, Laura Fraser, George MacKay",Drama,English,Australia,104,783013
2709,After Love,2016,Joachim Lafosse,"Mazarine Pingeot, Fanny Burdino, Joachim Lafosse, Thomas van Zuylen (collaborating writer)","Berenice Bejo, Cedric Kahn, Marthe Keller, Jade Soentjens",Drama,French,France,100,13621
2711,Shrink,2009,Jonas Pate,"Thomas Moffett, Henry Reardon (story)","Kevin Spacey, Joe Nunez, Mark Webber, Keke Palmer",Comedy,English,USA,104,93250
2712,Secret of the Wings,2012,"Roberts Gannaway, Peggy Holmes","Roberts Gannaway (screenplay), Peggy Holmes (screenplay), Ryan Rowe (screenplay), Tom Rogers (screenplay)","Mae Whitman, Lucy Hale, Timothy Dalton, Jeff Bennett",Animation,English,USA,75,1871624
2713,Annihilation,2018,Alex Garland,"Alex Garland (written for the screen by), Jeff VanderMeer (based on the novel by)","Natalie Portman, Benedict Wong, Sonoya Mizuno, David Gyasi",Adventure,English,UK,115,20636742
2714,Like Dandelion Dust,2009,Jon Gunn,"Stephen J. Rivele (screenplay), Michael Lachance (screenplay), Karen Kingsbury (novel)","Mira Sorvino, Barry Pepper, Cole Hauser, Kate Levering",Drama,English,USA,100,352810
2715,My Bloody Valentine,2009,Patrick Lussier,"Todd Farmer (screenplay), Zane Smith (screenplay), John Beaird, Stephen A. Miller","Jensen Ackles, Jaime King, Kerr Smith, Betsy Rue",Horror,English,USA,101,51527787
2716,My Piece of the Pie,2011,Cedric Klapisch,Cedric Klapisch (scenario),"Karin Viard, Gilles Lellouche, Audrey Lamy, Jean-Pierre Martins",Comedy,French,France,109,4213
2717,Spark: A Space Tail,2016,Aaron Woodley,"Aaron Woodley, Daniel Woo (story by), Aaron Woodley (story by), Goran Delic (initial concept by), Hee Kyung Kang (initial concept by), Doug Hadders (additional material written by), Robert Reece (additional material written by), Adam Rotstein (additional material written by)","Jace Norman, Jessica Biel, Patrick Stewart, Hilary Swank",Animation,English,Canada,91,190511
2718,For a Few Bullets,2016,Anzi Pan,"Anzi Pan, Zhiyong Zhou","Jingchu Zhang, Kenny Lin, Xiaoqing Liu, Vivian Dawson",Action,Mandarin,China,115,28892
2719,Bad Teacher,2011,Jake Kasdan,"Gene Stupnitsky, Lee Eisenberg","Cameron Diaz, Lucy Punch, Jason Segel, Justin Timberlake",Comedy,English,USA,92,100292856
2720,The Big Wedding,2013,Justin Zackham,"Justin Zackham (screenplay), Jean-Stephane Bron (motion picture ""Mon frere se marie""), Karine Sudan (motion picture ""Mon frere se marie"")","Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried",Comedy,English,USA,89,21500000
2721,Killer Joe,2011,William Friedkin,"Tracy Letts (screenplay), Tracy Letts (play)","Matthew McConaughey, Emile Hirsch, Juno Temple, Thomas Haden Church",Crime,English,USA,102,1800000
2722,The Limits of Control,2009,Jim Jarmusch,Jim Jarmusch,"Isaach De Bankole, Alex Descas, Jean-Francois Stevenin, Oscar Jaenada",Crime,English,USA,116,362032
2723,Pan,2015,Joe Wright,"Jason Fuchs, J.M. Barrie (characters)","Hugh Jackman, Levi Miller, Garrett Hedlund, Rooney Mara",Adventure,English,USA,111,35914825
2724,The Spy Next Door,2010,Brian Levant,"Jonathan Bernstein (screenplay), James Greer (screenplay), Gregory Poirier (screenplay), Jonathan Bernstein (story), James Greer (story)","Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley",Action,English,USA,94,24268828
2725,City Island,2009,Raymond De Felitta,Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer",Comedy,English,USA,104,6670712
2726,Cirque du Freak: The Vampire's Assistant,2009,Paul Weitz,"Paul Weitz (screenplay), Brian Helgeland (screenplay), Darren Shan (series of books)","John C. Reilly, Josh Hutcherson, Chris Massoglia, Jessica Carlson",Action,English,USA,109,13838130
2727,Endless Poetry,2016,Alejandro Jodorowsky,Alejandro Jodorowsky,"Adan Jodorowsky, Brontis Jodorowsky, Leandro Taub, Pamela Flores",Biography,Spanish,Chile,128,28000
2728,Meet Monica Velour,2010,Keith Bearden,Keith Bearden,"Kim Cattrall, Dustin Ingram, Brian Dennehy, Jee Young Han",Comedy,English,USA,98,31649
2729,Busco novio para mi mujer,2016,Enrique Begne,"Enrique Begne (adaptation), Leticia Lopez Margalli (adaptation), Gabriel Ripstein (adaptation), Pablo Solarz","Sandra Echeverria, Arath de la Torre, Jesus Ochoa, Monica Huarte",Comedy,Spanish,Mexico,92,1721707
2730,The Tillman Story,2010,Amir Bar-Lev,"Amir Bar-Lev, Mark Monroe","Josh Brolin, Pat Tillman, Mary Tillman, Russell Baer",Documentary,English,USA,94,798940
2731,The Forbidden Room,2015,"Guy Maddin, Evan Johnson(co-director)","Guy Maddin, Evan Johnson, Bob Kotyk, John Ashbery (poetry), Kim Morgan (additional writer), Kim Morgan (story editor)","Roy Dupuis, Clara Furey, Louis Negin, Udo Kier",Comedy,English,Canada,130,34043
2732,Dhoom 3,2013,Vijay Krishna Acharya,"Vijay Krishna Acharya (story), Aditya Chopra (story), Vijay Krishna Acharya (screenplay and dialogue)","Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra",Action,Hindi,India,172,5596653
2733,Rudderless,2014,William H. Macy,"Casey Twenter, Jeff Robison, William H. Macy","Miles Heizer, Aly Lovelace, Billy Crudup, Casey Twenter",Comedy,English,USA,105,56001
2734,The Greatest Showman,2017,Michael Gracey,"Jenny Bicks (screenplay by), Bill Condon (screenplay by), Jenny Bicks (story by)","Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",Biography,English,USA,105,164616443
2736,The Spirit,2008,Frank Miller,"Frank Miller (screenplay), Will Eisner (comic book series)","Jaime King, Gabriel Macht, Dan Gerrity, Arthur the Cat",Action,English,USA,103,19781879
2737,The Hangover Part III,2013,Todd Phillips,"Todd Phillips, Craig Mazin, Jon Lucas (characters), Scott Moore (characters)","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Adventure,English,USA,100,112200000
2738,Rab Ne Bana Di Jodi,2008,Aditya Chopra,"Aditya Chopra (dialogue), Aditya Chopra (screenplay), Aditya Chopra (story)","Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina",Comedy,Hindi,India,167,2040699
2739,The Understudy,2008,"David Conolly, Hannah Davis","David Conolly, Hannah Davis","Marin Ireland, Paul Sparks, Aasif Mandvi, Richard Kind",Comedy,English,USA,101,9593
2740,Tiger Eyes,2012,Lawrence Blume,"Judy Blume (novel), Lawrence Blume (screenplay)","Willa Holland, Amy Jo Johnson, Gwen Goldsmith, Lucien Dale",Drama,English,USA,92,25163
2741,The House Bunny,2008,Fred Wolf,"Karen McCullah, Kirsten Smith","Anna Faris, Colin Hanks, Emma Stone, Kat Dennings",Comedy,English,USA,97,48237389
2742,My Week with Marilyn,2011,Simon Curtis,"Adrian Hodges (screenplay), Colin Clark (books)","Michelle Williams, Eddie Redmayne, Julia Ormond, Kenneth Branagh",Biography,English,UK,99,12600000
2743,Charlie St. Cloud,2010,Burr Steers,"Craig Pearce (screenplay), Lewis Colick (screenplay), Ben Sherwood (novel)","Zac Efron, Charlie Tahan, Amanda Crew, Augustus Prew",Drama,English,USA,99,31136950
2744,Let the Right One In,2008,Tomas Alfredson,"John Ajvide Lindqvist (screenplay), John Ajvide Lindqvist (novel)","Kare Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl",Drama,Swedish,Sweden,115,2100000
2745,Brad's Status,2017,Mike White,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Michael Sheen",Comedy,English,USA,102,2029594
2746,23 Blast,2014,Dylan Baker,"Bram Hoover, Toni Hoover","Stephen Lang, Alexa PenaVega, Mark Hapka, Max Adler",Drama,English,USA,98,485128
2747,Painted Skin: The Resurrection,2012,Wuershan,"Qian Mi (story adviser), Jianan Ran (screenplay), Ping Ran (screenplay), Huan Wang (story adviser), James Yuen (story adviser)","Xun Zhou, Wei Zhao, Kun Chen, Tingjia Chen",Fantasy,Mandarin,China,131,13286
2748,Blue Like Jazz,2012,Steve Taylor,"Donald Miller (screenplay), Donald Miller (story), Ben Pearson (screenplay), Steve Taylor (screenplay)","Marshall Allman, Claire Holt, Tania Raymonde, Justin Welborn",Comedy,English,USA,108,594904
2749,Underworld Awakening,2012,"Mans Marlind, Bjorn Stein","Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)","Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James",Action,English,USA,88,62321039
2750,Now You See Me,2013,Louis Leterrier,"Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher",Crime,English,USA,115,117698894
2751,Inside Llewyn Davis,2013,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Oscar Isaac, Carey Mulligan, Justin Timberlake, Ethan Phillips",Drama,English,USA,104,9666762
2752,Prom,2011,Joe Nussbaum,Katie Wech,"Aimee Teegarden, Thomas McDonell, DeVaughn Nixon, Danielle Campbell",Comedy,English,USA,104,10106233
2753,Singh Is Bliing,2015,Prabhudheva,"Chintan Gandhi (dialogue), Sahar Quaze (dialogue)","Akshay Kumar, Amy Jackson, Lara Dutta, Kay Kay Menon",Action,Hindi,India,141,77300
2754,The Romantics,2010,Galt Niederhoffer,"Galt Niederhoffer (novel), Galt Niederhoffer","Katie Holmes, Josh Duhamel, Anna Paquin, Malin Akerman",Comedy,English,USA,95,100000
2755,Linsanity,2013,Evan Jackson Leong,Aaron Strongoni (narration writer),"Daniel Dae Kim, Jeremy Lin, Ming Yao, Mike D'Antoni",Documentary,English,USA,89,298250
2756,Our Little Sister,2015,Hirokazu Koreeda,"Akimi Yoshida (manga), Hirokazu Koreeda (screenplay)","Haruka Ayase, Masami Nagasawa, Kaho, Suzu Hirose",Drama,Japanese,Japan,127,466986
2757,Skyfall,2012,Sam Mendes,"Neal Purvis, Robert Wade, John Logan, Ian Fleming (characters)","Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",Action,English,UK,143,299300000
2759,In a World...,2013,Lake Bell,Lake Bell,"Lake Bell, Rob Corddry, Alexandra Holden, Eva Longoria",Comedy,English,USA,93,2041184
